name,player_id,pitch_type,pitch_result,atbat_result,start_speed,z0,x0,pfx_x,pfx_z,px,pz,break_angle,break_length,spin_rate,spin_dir,zone,balls,strikes,outs,play,game_date,inning,inning_topbot,tfs,tfs_zulu,catcher,umpire,umpire_name,stolen_base_attempt,stolen_base_success,batted_ball_type,,angle,batted_ball_velocity,direction,hc_x,hc_y,pitch_id,distance_feet
"Zack Greinke                  ",425844,FF,"Called Strike",Strikeout,"93.0      ",6.018,-1.287,"-2.400              ","10.315              ",-1.056,"2.242               ","16.8      ","3.2       ","2143.747  ","193.048   ",13,1,1,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023123,2015-10-04T02:31:23Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,285,
"Zack Greinke                  ",425844,FT,"Swinging Strike",Strikeout,"90.7      ",5.922,-1.551,"-6.389              ","1.917               ",-1.530,"1.432               ","20.2      ","7.2       ","1306.735  ","252.956   ",13,1,2,2,"Brett Wallace strikes out swinging.  ",2015-10-03,6,top,023153,2015-10-04T02:31:53Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,286,
"Zack Greinke                  ",425844,SL,"Swinging Strike",Strikeout,"84.6      ",6.119,-1.140,"2.124               ","-1.113              ",0.413,"1.212               ","-6.3      ","9.0       ","437.609   ","63.359    ",14,0,0,0,"Melvin Upton Jr.   strikes out swinging.  ",2015-10-03,6,top,022318,2015-10-04T02:23:18Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,261,
"Zack Greinke                  ",425844,FF,"Swinging Strike",Strikeout,"92.9      ",6.251,-0.760,"-3.993              ","10.240              ",0.668,"3.311               ","23.6      ","3.4       ","2188.412  ","201.224   ",12,0,1,2,"Robbie Erlin called out on strikes.  ",2015-10-03,5,top,021325,2015-10-04T02:13:25Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,230,
"Zack Greinke                  ",425844,FF,"Called Strike",Strikeout,"91.7      ",6.108,-0.952,"-3.337              ","9.664               ",0.349,"2.724               ","17.9      ","3.7       ","2020.423  ","198.974   ","3 ",0,0,2,"Robbie Erlin called out on strikes.  ",2015-10-03,5,top,021312,2015-10-04T02:13:12Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,229,
"Zack Greinke                  ",425844,FT,Ball,Walk,"93.7      ",5.757,-1.093,"-11.461             ","3.796               ",0.367,"1.085               ","37.0      ","7.1       ","2429.080  ","251.501   ",14,3,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015551,2015-10-04T01:55:51Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,162,
"Zack Greinke                  ",425844,SL,"Called Strike",Walk,"85.7      ",6.216,-0.936,"2.768               ","0.436               ",0.610,"1.887               ","-8.7      ","8.1       ","524.586   ","99.882    ","9 ",0,0,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015306,2015-10-04T01:53:06Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,155,
"Zack Greinke                  ",425844,SL,Foul,Walk,"86.8      ",6.175,-0.745,"4.832               ","1.392               ",1.560,"1.781               ","-15.7     ","7.8       ","954.167   ","106.553   ",14,2,2,2,"Jedd Gyorko walks.  ",2015-10-03,4,top,015433,2015-10-04T01:54:33Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,159,
"Zack Greinke                  ",425844,FF,Foul,Strikeout,"92.3      ",5.982,-0.965,"-2.995              ","11.505              ",0.026,"2.186               ","21.2      ","2.9       ","2377.398  ","194.539   ","5 ",3,2,2,"Travis Jankowski called out on strikes.  ",2015-10-03,7,top,024433,2015-10-04T02:44:33Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,329,
"Zack Greinke                  ",425844,FF,"In play, out(s)",Flyout,"93.6      ",6.127,-0.889,"-2.145              ","10.888              ",0.514,"2.508               ","13.5      ","2.9       ","2244.510  ","191.104   ","6 ",1,1,2,"Yangervis Solarte flies out to center fielder Enrique Hernandez.  ",2015-10-03,1,top,011444,2015-10-04T01:14:44Z,518735,483561,"Lance Barrett",0,0,FB,,,,,137.4900,73.5700,20,
"Zack Greinke                  ",425844,SL,Foul,Strikeout,"86.3      ",6.181,-1.232,"3.982               ","3.958               ",-0.016,"2.152               ","-14.2     ","6.9       ","1045.759  ","135.161   ","5 ",0,2,1,"Jedd Gyorko strikes out swinging.  ",2015-10-03,6,top,022737,2015-10-04T02:27:37Z,518735,483561,"Lance Barrett",0,0,,,,,,0.0000,0.0000,276,
"Zack Greinke                  ",425844,FT,Ball,Flyout,"88.7      ",6.021,-1.387,"-7.318              ","6.087               ",-1.403,"1.799               ","27.6      ","6.2       ","1822.380  ","230.048   ",13,0,1,2,"Yangervis Solarte flies out to center fielder Enrique Hernandez.  ",2015-10-03,1,top,011429,2015-10-04T01:14:29Z,518735,483561,"Lance Barrett",0,0,,,,,,137.4900,73.5700,19,
"Zack Greinke                  ",425844,FF,"Called Strike",Groundout,"93.9      ",6.073,-1.347,"-0.002              ","10.338              ",-0.468,"3.375               ","-2.1      ","2.8       ","2104.131  ","180.012   ",11,1,0,2,"Cory Spangenberg grounds out softly to first baseman Adrian Gonzalez.  ",2015-10-03,3,top,014128,2015-10-04T01:41:28Z,518735,483561,"Lance Barrett",0,0,,,,,,150.2100,177.6900,114,
"Zack Greinke                  ",425844,FF,Ball,Groundout,"93.2      ",5.819,-1.277,"-3.545              ","11.343              ",0.005,"1.367               ","23.0      ","3.1       ","2372.414  ","197.297   ",14,0,0,1,"Travis Jankowski grounds out softly, pitcher Zack Greinke to first baseman Adrian Gonzalez.  ",2015-10-03,5,top,021227,2015-10-04T02:12:27Z,518735,483561,"Lance Barrett",0,0,,,,,,124.7700,190.7800,224,
